bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl
10.0319,0,7.9081,0.5758,66.3262,15.805,4.5427,0.1579,0,-0.0497,1.1639,24.888,ABSLAMC,2026-03-10,0,5.4599
4.2537,35,2.3772,0.7748,64.0287,8.004,2.0437,0.056,1,0.0505,0.8346,-13.1455,ACC,2017-01-25,0,13.3662
6.4857,38,2.0413,0.946,68.771,9.1101,2.1796,0.0428,1,0.0276,1.0825,21.5932,ACC,2017-07-12,0,3.0482
2.8369,29,1.8606,0.8952,62.7871,9.1751,1.8648,0.0593,1,0.0205,1.1831,14.7213,ACC,2017-09-12,0,-5.4075
10.761,0,8.0411,0.7646,68.2275,20.9118,3.4901,0.1119,1,0.0339,0.8039,-6.9734,ACC,2018-07-24,0,4.3436
5.3365,65,1.8876,0.5212,56.403,8.9496,2.4574,-0.0034,0,-0.0015,0.9309,-7.4397,ACC,2019-02-27,0,11.9765
8.5005,56,1.6936,0.9385,65.2808,20.542,2.8224,0.0646,1,0.0144,1.0679,1.9659,ACC,2019-09-20,0,-8.3154
4.2682,28,3.7784,0.7339,58.8612,14.9516,2.6613,0.0367,1,0.0359,0.7419,-25.6864,ACC,2023-05-22,0,-3.0016
4.1885,73,4.3324,0.9618,66.2221,14.3239,1.7784,0.0507,1,0.0401,0.7316,7.4244,ACC,2023-07-25,0,1.3506
8.642,3,5.4281,0.7042,69.4619,18.1304,3.1608,0.1589,1,0.0165,1.2598,22.7107,ACC,2024-01-25,0,-0.2712
9.6656,36,2.0361,0.7996,65.3507,11.7878,2.5876,0.0717,1,0.038,1.2539,16.9256,ACC,2024-06-03,0,-9.2253
3.251,67,7.8407,0.5923,64.9049,21.2206,1.8326,0.0325,1,0.0191,0.9449,-3.2459,ACC,2025-11-24,0,-6.0526
