bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
11.5111,1,4.3482,0.5966,55.8156,17.3459,5.9318,-0.0597,0,-0.0032,1.0,-33.5088,ANTELOPUS,2025-03-19,0,-19.1416,Batch 3
8.5466,2,5.0539,0.74,66.0483,12.1222,3.3482,0.0837,1,0.0359,0.6697,-19.9242,ANTELOPUS,2025-06-06,0,1.8843,Batch 3
6.7044,12,3.1248,0.7786,57.6775,12.3432,3.1716,-0.0037,1,0.0177,0.9802,10.6307,ANTELOPUS,2025-09-17,0,-10.1678,Batch 3
8.8732,39,3.4976,0.5917,60.4716,8.3652,3.3646,0.0301,1,0.0337,0.9861,-17.7188,ANTELOPUS,2025-10-28,0,-9.8439,Batch 3
5.723,11,4.0374,0.7287,64.7625,9.3487,3.4528,0.1343,1,0.0237,1.0451,40.6658,ARKADE,2025-07-07,0,-8.4391,Batch 3
9.235,22,8.3251,0.4065,58.6378,10.6432,4.072,0.0766,1,0.0231,1.6453,54.5547,ASHAPURMIN,2025-11-14,0,15.1232,Batch 3
8.8567,11,1.65,1.0,61.1988,9.6834,3.579,0.0244,0,-0.0162,1.2417,13.3573,BALUFORGE,2025-09-02,0,-6.9368,Batch 3
6.3846,55,2.8586,0.8148,55.0553,16.6478,3.7883,0.0229,1,0.0066,0.8245,2.7871,BALUFORGE,2025-12-09,0,-11.9136,Batch 3
5.3543,9,12.132,0.5816,57.9907,18.5622,3.4889,-0.0088,1,0.0021,0.9149,37.9703,GPTINFRA,2025-07-21,0,-9.5477,Batch 3
7.4463,4,4.5832,0.821,55.6819,17.9898,3.6619,0.0048,1,0.0021,1.1766,-1.6541,GPTINFRA,2025-09-10,0,-13.828,Batch 3
9.0295,72,5.6957,0.8762,64.3133,14.6042,3.9472,0.0735,1,0.0056,0.8731,1.54,GPTINFRA,2026-02-10,0,-2.9663,Batch 3
6.3732,29,1.5798,0.957,68.2072,11.903,3.0061,0.0959,1,0.0554,1.0711,-0.7045,KOVAI,2025-05-14,0,-4.8985,Batch 3
9.948,1,3.2933,0.8648,65.0861,9.1228,3.3138,0.1052,1,0.033,1.1713,6.1779,KOVAI,2025-05-30,0,-9.1799,Batch 3
3.6084,42,2.1645,0.69,59.0599,8.1742,2.1294,0.0277,1,0.0215,1.0853,13.8769,KOVAI,2025-09-18,0,-6.4324,Batch 3
5.3573,90,1.572,0.517,58.8584,10.52,3.058,0.0239,0,-0.0224,0.8944,-10.0896,KOVAI,2026-04-08,0,-0.0983,Batch 3
7.124,23,5.9622,0.8625,63.3185,8.4105,4.2005,0.0935,0,-0.0488,1.0,0.0,KSHINTL,2026-03-10,1,94.3104,Batch 3
6.7647,12,5.4913,0.4621,56.9376,8.9412,3.4021,0.0,1,0.007,1.0,0.0,LOTUSDEV,2025-09-24,0,-9.1051,Batch 3
6.3285,7,1.5867,0.9199,59.8687,12.7012,2.7492,-0.0038,1,0.0145,1.0,-13.2683,LOTUSDEV,2026-01-02,0,-10.5596,Batch 3
7.8814,10,2.7656,0.7903,60.3999,11.0593,3.3615,0.0174,1,0.0065,1.0,-6.3656,LOTUSDEV,2026-01-07,0,-14.8894,Batch 3
8.8204,5,1.8261,0.7674,63.2645,8.77,2.9823,0.0,1,0.0053,1.0,0.0,LUMAXTECH,2024-12-06,0,3.1306,Batch 3
7.9698,7,4.3602,0.6296,64.0414,9.466,4.3427,0.071,1,0.0085,1.1453,50.7305,MCLOUD,2025-07-15,0,-4.1777,Batch 3
9.5453,10,8.0286,0.8779,61.9435,10.2244,5.4686,0.0918,1,0.0325,0.9545,2.5177,NDRAUTO,2025-05-09,1,30.456,Batch 3
12.3447,0,2.8637,0.8656,65.9585,11.6442,4.7317,0.0714,0,-0.0089,1.7471,62.595,NDRAUTO,2025-09-05,0,-13.3211,Batch 3
